neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day
14,1.30541,103.85508,3,90,2,153,2.95,10,58,2019,8,5
14,1.30386,103.85459,3,106,2,246,4.49,10,63,2019,8,8
5,1.31281,103.84826,3,106,1,22,0.41,5,336,2019,8,26
6,1.30197,103.89935,2,49,2,10,0.62,1,344,2019,8,11
4,1.31243,103.88441,3,90,1,8,0.15,5,353,2019,7,1
4,1.31005,103.87613,3,219,1,1,0.02,5,364,2016,2,19
1,1.2761,103.84071,3,228,6,2,0.1,4,364,2018,2,2
1,1.27493,103.84029,3,200,6,5,0.11,4,364,2019,7,28
4,1.3291,103.88257,2,107,2,7,0.16,2,363,2019,8,15
1,1.2757399999999999,103.83632,3,190,365,45,0.84,6,89,2016,12,17
9,1.3195,103.84791,2,99,1,238,4.39,3,329,2019,8,22
9,1.3177299999999998,103.84633000000001,2,94,1,191,3.56,3,351,2019,8,23
5,1.31372,103.848,3,131,1,18,0.35,5,343,2019,8,18
5,1.3095299999999999,103.85958000000001,3,194,1,9,0.17,16,351,2018,4,20
7,1.29891,103.84659,3,350,365,44,0.81,6,83,2016,3,9
2,1.31164,103.79555,2,60,30,14,0.26,14,359,2019,8,5
9,1.32568,103.85009000000001,3,250,8,12,0.22,203,364,2017,3,31
13,1.29473,103.83885,3,131,5,27,0.5,84,77,2019,7,19
9,1.32574,103.85181,3,137,10,6,0.11,203,364,2017,7,14
8,1.3052700000000002,103.83424000000001,3,249,2,25,0.76,38,208,2019,7,25
2,1.31263,103.79793000000001,1,61,1,10,0.2,1,0,2015,11,12
4,1.31208,103.88475,3,110,4,3,0.06,1,0,2016,6,2
13,1.2952299999999999,103.84039,3,115,30,8,0.17,84,86,2018,12,10
14,1.3025799999999998,103.84810999999999,3,90,5,24,0.46,67,48,2019,5,4
3,1.28209,103.85191,3,237,2,16,0.3,1,0,2016,4,4
13,1.2963799999999999,103.83975,3,119,5,37,0.7,84,70,2019,8,13
5,1.31621,103.85614,2,49,5,16,0.34,12,49,2019,6,29
4,1.31677,103.90182,2,44,1,6,0.11,1,0,2016,1,2
9,1.32584,103.85379,3,218,3,21,0.4,203,254,2019,3,17
14,1.3008600000000001,103.85439000000001,3,190,90,195,3.67,1,59,2019,8,19
11,1.2843,103.84738,2,125,21,133,2.51,1,0,2019,3,13
11,1.28407,103.84385,3,110,5,34,0.66,67,125,2019,8,3
5,1.3164200000000001,103.85776,3,112,2,42,0.83,12,318,2019,8,11
14,1.30218,103.86036,2,87,1,5,0.1,4,0,2016,2,11
14,1.30162,103.86022,2,76,1,39,0.74,4,0,2016,11,2
14,1.30223,103.86083,2,76,1,23,0.45,4,0,2016,8,6
17,1.29376,103.82802,3,281,3,8,0.16,1,0,2016,2,12
2,1.3113700000000001,103.79544,2,75,90,8,0.16,14,356,2018,10,2
5,1.31534,103.85821999999999,3,100,2,83,1.58,12,320,2019,8,12
13,1.29467,103.83839,3,119,6,56,1.06,84,62,2019,8,12
4,1.31466,103.88736,3,90,14,68,1.31,67,0,2019,7,27
17,1.29504,103.82970999999999,2,58,21,6,0.13,4,149,2018,12,6
4,1.31323,103.88802,3,82,4,130,2.47,84,41,2019,8,3
10,1.30067,103.8392,3,219,2,118,2.32,1,46,2019,8,10
4,1.31443,103.88750999999999,3,85,15,124,2.36,84,61,2019,5,12
4,1.3164799999999999,103.89486,3,85,1,62,1.18,67,72,2019,7,30
4,1.3139399999999999,103.8866,3,90,4,51,1.01,84,33,2019,8,10
4,1.31585,103.88554,3,110,1,24,0.46,67,89,2019,7,24
4,1.3141399999999999,103.8881,3,85,1,79,1.53,67,120,2019,7,9
4,1.3156,103.88776,3,92,4,26,0.49,67,73,2019,8,12
4,1.31312,103.88663000000001,3,94,9,29,0.56,84,68,2019,3,1
11,1.2856299999999998,103.845,3,106,10,22,0.42,67,47,2019,7,10
11,1.28362,103.84509,3,131,4,24,0.47,67,81,2019,7,10
4,1.31352,103.88728,3,82,24,75,1.46,84,74,2018,9,16
12,1.2929700000000002,103.76953,1,19,5,3,0.08,9,350,2018,1,29
9,1.32734,103.84433,3,300,25,26,0.51,67,365,2019,6,24
1,1.27495,103.83570999999999,2,81,2,162,3.13,1,289,2019,8,22
2,1.3123799999999999,103.79542,2,78,28,9,0.18,14,347,2018,12,12
12,1.29154,103.76890999999999,1,25,5,2,0.05,9,0,2016,10,9
11,1.28368,103.84563,3,115,6,25,0.49,84,60,2019,8,12
13,1.29561,103.84035,3,119,6,21,0.41,84,45,2019,5,13
11,1.28359,103.84564,3,119,5,21,0.58,67,117,2019,7,23
11,1.28342,103.84553000000001,3,110,4,44,1.06,67,117,2019,7,17
4,1.32958,103.88464,2,94,3,15,0.3,2,352,2019,7,14
3,1.28026,103.85296,2,90,60,1,0.02,41,364,2016,3,24
11,1.28326,103.84318,2,56,90,1,0.03,83,343,2016,11,3
17,1.2958399999999999,103.82675,3,169,2,2,0.04,1,0,2015,6,14
15,1.28985,103.84782,2,110,2,6,0.12,1,0,2015,10,16
4,1.31322,103.87976,2,50,2,99,3.26,14,77,2019,8,26
14,1.30291,103.84871,2,69,1,4,0.08,1,0,2015,11,27
4,1.31532,103.8874,3,94,1,50,0.97,67,65,2019,8,10
4,1.31644,103.88701999999999,3,199,2,59,1.14,23,51,2019,8,21
4,1.31314,103.88681,3,181,4,48,0.94,84,61,2019,8,10
4,1.3132,103.88757,3,82,5,60,1.18,84,0,2019,7,13
14,1.30288,103.84825,3,89,6,3,0.06,67,0,2018,5,27
2,1.31174,103.79713000000001,2,50,1,1,0.02,1,0,2015,6,9
9,1.32786,103.84907,3,218,14,35,0.68,203,316,2019,1,2
13,1.2962799999999999,103.84034,3,208,7,23,0.45,4,363,2019,8,16
4,1.31097,103.8826,2,90,1,115,2.22,37,319,2019,8,12
11,1.2810700000000002,103.84132,3,304,3,115,2.24,9,105,2019,8,7
1,1.28315,103.83406,3,201,2,3,0.06,1,260,2015,10,10
1,1.2837399999999999,103.83513,3,110,2,28,0.55,26,333,2019,7,3
2,1.34486,103.76871,2,76,90,2,0.04,1,365,2018,1,22
1,1.28357,103.82995,3,115,1,11,1.25,26,349,2019,8,4
13,1.2928899999999999,103.84007,2,65,2,2,0.04,1,0,2015,8,4
1,1.28214,103.83121,3,125,1,3,0.06,26,326,2019,6,24
4,1.3145200000000001,103.88589,3,100,4,22,0.43,67,83,2019,6,28
5,1.31015,103.85967,3,222,1,1,0.03,16,351,2016,8,20
4,1.31364,103.88734000000001,3,99,6,55,1.13,84,51,2019,8,2
9,1.3240100000000001,103.853,3,71,90,3,0.1,3,42,2019,7,10
9,1.32831,103.84834000000001,3,119,5,13,0.29,203,319,2019,2,17
5,1.3130000000000002,103.85922,2,76,90,11,0.22,2,256,2019,3,31
12,1.30531,103.78374000000001,2,87,28,18,0.37,1,280,2019,3,23
8,1.31152,103.84026999999999,3,131,5,2,0.04,1,0,2015,11,29
4,1.31467,103.88749,3,181,7,40,0.78,84,74,2019,8,10
4,1.31374,103.88752,3,85,4,99,1.95,67,73,2019,8,4
4,1.31375,103.88663000000001,3,85,14,28,0.55,67,0,2019,6,23
15,1.29209,103.84109000000001,3,137,8,27,0.53,1,0,2018,11,22
14,1.30205,103.85804,2,119,1,2,0.07,7,233,2018,1,1
13,1.29453,103.83733000000001,2,78,1,111,2.19,2,3,2019,8,11
5,1.31806,103.85172,3,94,2,4,0.1,1,0,2017,12,28
15,1.28777,103.84907,2,125,90,74,1.46,1,270,2018,12,23
12,1.30728,103.78113,3,150,14,21,0.41,1,291,2019,7,27
4,1.31406,103.88626,2,60,1,2,0.04,1,0,2015,7,10
